Fecha,Encuesta,Estrato,Sexo,Edad,Nivel Educativo,Cantidad de Integrantes en el Hogar,Imagen del Candidato,Voto,Voto Anterior
2024-11-14,5f20f406-3438-44e4-b0f8-dd9952177eb7,Medio,Femenino,61,Secundario incompleto,5,4.8776116924176165,Candidato C,Candidato A
2024-08-14,174f7a54-788c-461e-b3cc-9d8a4b1678e4,Bajo,Masculino,24,Primario incompleto,3,18.810639658076887,Candidato C,En blanco
2025-02-05,1bce35d8-cbe8-4a3f-af7a-304ff344c911,Bajo,Femenino,73,Secundario incompleto,4,49.25716501077355,No votó,Candidato C
2025-10-02,9b050db2-8ee4-4d02-9cb6-6f6746e785ad,Alto,Masculino,79,Primario completo,5,65.85434019511692,Candidato A,Candidato B
2025-10-15,b3dd77e1-cbb0-4fe9-a764-9a62b02de52c,Medio,Masculino,66,Secundario incompleto,3,52.098320641296155,No votó,Candidato B
2024-04-27,2f751bde-6616-4e5b-ada2-fc4c7237d420,Alto,Masculino,51,Secundario incompleto,3,57.488404021139516,Candidato A,Candidato B
2024-12-06,2cbb93c2-6e84-48ea-abf4-d047c4841a8d,Alto,Femenino,45,Secundario completo,4,99.19995558851096,En blanco,Candidato C
2024-02-26,5723a959-7415-4acc-b5a3-e8933f7a2748,Alto,Femenino,77,Secundario completo,5,8.764329664665105,Candidato A,Candidato A
2024-06-15,5af95c78-247f-4d97-85fa-2d5cefe6171b,Bajo,Femenino,59,Posgrado,6,37.27013680778508,No votó,No votó
2024-02-26,1624d318-a326-42e8-a1ab-17c0766229cc,Medio,Femenino,58,Secundario completo,2,54.53669936038844,En blanco,Candidato A
2025-06-19,4b7350d1-3421-4eaf-8149-fa8e7bb8c2f1,Bajo,Femenino,36,Primario incompleto,3,79.06527966322112,En blanco,Candidato A
2024-01-22,72f774b1-b2f1-4ef9-9486-44820078cb12,Alto,Femenino,74,Posgrado,1,88.37136103750045,Candidato A,Candidato A
2025-03-04,37fef6b5-01fd-4698-b646-57ca9e65736c,Bajo,Masculino,61,Terciario/Universitario completo,4,62.023990850453025,Candidato A,Candidato B
2025-07-22,fa92cd28-c4c5-46fb-9d4d-11804c6e6fbb,Alto,Masculino,39,Posgrado,4,65.55693619683535,En blanco,Candidato C
2024-05-22,9bf1f1d1-8b92-4247-8d18-c103a100ed14,Medio,Femenino,49,Primario completo,4,89.4351970751223,Candidato B,No votó
2025-10-16,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,Medio,Masculino,61,Terciario/Universitario completo,3,79.19891791506393,En blanco,Candidato A
2024-12-27,7f67ee1a-ad9d-4f42-97b1-8e6e78aff58e,Alto,Masculino,30,Terciario/Universitario completo,1,58.0770792840365,Candidato B,No votó
2025-05-10,8b32992a-3b7c-4f9a-b5fe-ba5ec2953f51,Bajo,Femenino,28,Secundario completo,6,1.2180109127806649,En blanco,En blanco
2025-07-31,a1cf0d1d-47b3-4f41-a7c2-1355c3121af6,Medio,Masculino,41,Terciario/Universitario completo,2,41.26087006482605,No votó,Candidato C
2025-02-19,4523dbbb-1eee-4219-8588-d91dfbe86a8e,Medio,Masculino,53,Terciario/Universitario completo,3,7.08859065824845,Candidato A,Candidato B
2025-10-10,00109824-0a61-4be3-ab22-12c9e23b580e,Medio,Masculino,71,Secundario incompleto,2,96.29775232073456,Candidato C,Candidato B
2024-03-03,e3fbdbda-86ae-4d5c-a5ff-6adc41aef3f7,Alto,Masculino,40,Terciario/Universitario completo,4,82.66341147313273,En blanco,En blanco
2024-07-07,71d04b0f-656f-47e6-b5c0-3f6f94e4cc44,Alto,Femenino,63,Posgrado,1,34.5972484504475,Candidato C,En blanco
2024-01-25,5a9414b8-40aa-4c7a-bf1d-f6871a1ec042,Bajo,Masculino,46,Posgrado,5,10.044753030235242,Candidato C,En blanco
2025-05-29,ac2c10d0-c156-48ff-9f0d-6301488cac4e,Alto,Masculino,43,Posgrado,3,56.40863861820892,Candidato B,Candidato B
2024-01-06,15d38ca9-986c-48d5-b22f-1499e8a56f31,Medio,Masculino,46,Posgrado,2,35.21081733580937,Candidato A,No votó
2025-10-08,4332559d-cad0-4273-9209-61ea09135087,Medio,Femenino,60,Terciario/Universitario completo,2,72.32655287869169,No votó,Candidato A
2025-08-31,1e415c4e-5703-4ede-889c-8ae24e3c0f2d,Alto,Masculino,38,Primario completo,4,83.72969749712344,En blanco,No votó
2025-04-24,e404d808-3fc1-4c00-9c05-20a487ba3b90,Medio,Femenino,72,Primario incompleto,1,59.69778963111732,No votó,No votó
2024-07-23,116e8a64-29de-4984-8312-77fdeb83af16,Bajo,Femenino,47,Posgrado,1,81.83181762730905,Candidato C,Candidato B
2024-11-10,48622a67-4a29-4067-9c66-a27b6a325333,Alto,Femenino,22,Terciario/Universitario completo,2,0.8474502205632395,No votó,Candidato A
2025-01-17,85e74250-92f0-48b8-a269-62278513d91e,Bajo,Femenino,27,Secundario completo,5,23.345864430713835,Candidato B,Candidato C
2024-01-27,1af55c26-8808-4ebc-b5d4-cd35a08c3a00,Bajo,Masculino,32,Terciario/Universitario incompleto,1,43.06518403461119,No votó,No votó
2024-08-10,8b279c29-a274-40d7-b4a5-cc36692a7bce,Alto,Femenino,66,Terciario/Universitario completo,2,46.502451072559616,Candidato A,Candidato B
2024-10-12,e76f8a76-c74f-41cd-bdce-29ef674610eb,Medio,Femenino,25,Primario completo,6,81.27393946366107,Candidato B,Candidato A
2024-07-12,713eceb1-4ad1-4b4c-8753-4952c9c5fef1,Alto,Femenino,66,Posgrado,2,17.55046970396702,En blanco,Candidato C
2025-02-26,2347b24f-a0f9-4074-9177-b6d45f2e9167,Alto,Femenino,27,Secundario completo,1,57.2892177509567,No votó,En blanco
2025-03-21,1eda4209-b270-4f55-9f90-78d52835bcdb,Alto,Femenino,79,Terciario/Universitario completo,6,53.79265030290765,En blanco,Candidato C
2025-10-19,77cb1a27-974f-4edc-a6b6-208761a53fdd,Bajo,Masculino,77,Secundario incompleto,5,64.78902010356678,Candidato B,Candidato B
2024-04-16,4c88b9d8-ab12-4b53-8f42-cebe23b870f3,Alto,Femenino,43,Terciario/Universitario completo,6,1.3691735780533287,No votó,Candidato B
2025-01-12,be0a5a56-7900-4c61-a1d2-0ebc5aa3892a,Medio,Femenino,78,Terciario/Universitario incompleto,4,4.373052565458757,No votó,Candidato A
2024-11-14,7d25cefb-7a0a-42ba-b7cf-80256a447a90,Medio,Masculino,47,Secundario completo,6,9.089271819117506,Candidato A,Candidato B
2024-10-18,7e22e1b7-5178-4032-8066-b49bb1d792a0,Bajo,Masculino,63,Primario completo,4,39.33943464135026,Candidato B,Candidato B
2025-09-12,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,Alto,Masculino,52,Primario incompleto,2,59.77515144292709,Candidato C,Candidato C
2024-12-18,7eda9ab9-bec6-4ffe-a48f-4a254cd8ef24,Medio,Masculino,31,Terciario/Universitario completo,3,73.40068088463066,No votó,Candidato C
2024-05-30,3739076a-9f03-4cdc-a328-66d30d6a78b0,Alto,Femenino,75,Secundario completo,4,65.0907967597226,Candidato B,Candidato A
2023-12-28,641659c0-78b6-4daf-9afb-9565068a3c38,Bajo,Masculino,41,Terciario/Universitario incompleto,4,10.751199744502294,Candidato C,Candidato A
2025-07-27,d8a230de-0296-4326-be2d-9d1de377b008,Bajo,Femenino,63,Terciario/Universitario incompleto,3,86.5826748616189,Candidato A,Candidato B
2025-10-23,afd86432-1103-4083-ba99-9f9b86de3365,Alto,Masculino,20,Posgrado,5,39.450799230768155,No votó,No votó
2025-01-09,f305ee95-afb1-40f4-94d4-dad6ddfae808,Bajo,Masculino,19,Terciario/Universitario completo,1,81.6358635447795,Candidato C,En blanco
2025-10-21,65264961-ab44-44ae-acb3-d561bdf0b015,Bajo,Masculino,43,Primario completo,2,17.115945251470887,Candidato C,Candidato C
2023-11-20,1dbc24fd-0a8a-41e4-9c7c-bc6201a4f7a1,Bajo,Femenino,31,Terciario/Universitario incompleto,4,38.029171546027385,En blanco,Candidato B
2024-01-21,453432cd-ffeb-4d5f-80f5-20f49ef1c846,Alto,Masculino,23,Secundario completo,2,67.0435229829304,Candidato B,Candidato A
2025-05-22,4ae302f3-b31e-4be8-a3ef-802edf8693ce,Medio,Femenino,72,Secundario incompleto,1,63.00878779587611,Candidato A,Candidato A
2025-08-23,24039721-3a08-4921-a695-f8baba2338fe,Bajo,Masculino,44,Terciario/Universitario incompleto,6,51.87904998733926,Candidato B,Candidato B
2024-09-14,30f2c485-49b5-44fb-92a6-51d7c069c542,Bajo,Femenino,55,Secundario incompleto,1,92.3138555242763,No votó,No votó
2025-05-14,b7626f49-75fd-4537-af1b-dd071aff71ae,Medio,Masculino,54,Secundario completo,4,81.15587708076247,Candidato C,No votó
2025-08-11,54a8762b-2b12-492c-a256-5a955487b5c3,Alto,Femenino,73,Terciario/Universitario incompleto,6,59.58526078318164,Candidato B,Candidato B
2025-07-11,affe2554-e5ae-4699-a5e3-a7196bf52dfd,Medio,Masculino,68,Posgrado,3,67.76652562040623,En blanco,Candidato B
2025-04-11,eee84bcb-7281-48a9-a5e4-979d6f6ddf79,Bajo,Masculino,44,Posgrado,6,41.519924620126616,Candidato C,Candidato B
2025-03-09,50ea1324-862f-48e1-a5c2-9b6ab575bc6e,Medio,Femenino,52,Posgrado,3,51.29018349513521,Candidato A,En blanco
2023-11-10,2fd3b9f2-e90f-49f8-b578-3f662114c2d6,Alto,Femenino,31,Terciario/Universitario completo,3,63.02580315447859,Candidato A,Candidato B
2025-02-27,fbc59e92-ca12-49ad-9963-05b371b221e4,Medio,Femenino,58,Primario completo,4,83.74080719665213,En blanco,En blanco
2024-11-27,7df0fe6b-ce8d-45f2-ad62-e40c638d521a,Alto,Femenino,18,Terciario/Universitario incompleto,1,19.997796668331212,En blanco,No votó
2025-08-14,cbab5b51-385c-4fdc-bad3-116b63b8a897,Bajo,Femenino,79,Secundario completo,5,45.77240923638514,No votó,En blanco
2025-09-13,344af454-f0a6-4c5e-b074-21d43239d04b,Alto,Masculino,60,Secundario completo,3,18.404075181415337,Candidato A,Candidato A
2024-07-25,e7e3f52c-0cbf-404d-b5c2-5d429626d8c4,Medio,Masculino,26,Primario completo,3,19.72001359787606,Candidato B,Candidato C
2024-05-17,a217cf25-3be9-4767-8884-fd16636abf8c,Alto,Masculino,51,Secundario incompleto,4,3.5679796338300873,Candidato A,En blanco
2025-05-30,5d158e44-2fcf-4b87-9efa-786415ac15c3,Bajo,Femenino,59,Secundario completo,1,11.918191085504137,Candidato C,No votó
2024-07-19,ad7027cf-a358-4b1d-be3f-eafd0e96ed9b,Alto,Masculino,76,Secundario incompleto,1,75.735038014906,En blanco,Candidato B
2025-05-09,4c2abdaa-9c5c-41eb-bbaa-17f92c623ac3,Alto,Masculino,49,Primario completo,6,32.99512768752933,Candidato B,Candidato A
2025-09-16,de6c8762-b475-415e-962d-5c729ccd3e1f,Alto,Femenino,37,Primario completo,6,30.47506048850722,Candidato C,En blanco
2023-12-28,c57c7998-48d0-42be-8061-c99b831a352a,Medio,Masculino,42,Secundario incompleto,3,14.388387784733148,En blanco,No votó
2024-04-06,6953a115-5a62-4dc4-a209-1f49e0a10d2b,Medio,Masculino,52,Primario completo,2,57.638178557581064,No votó,No votó
2025-10-22,b261d0d2-a1c2-49bf-8dcf-035b7552c6e8,Bajo,Femenino,52,Terciario/Universitario incompleto,4,41.50857796945364,Candidato C,Candidato B
2025-01-23,a604e5af-f4db-4c1e-aa66-b4648420b8d9,Alto,Femenino,22,Terciario/Universitario incompleto,6,5.526483763192392,No votó,No votó
2024-04-30,bc02ba67-ee04-4dde-8c14-1838f46860a2,Medio,Femenino,23,Posgrado,3,38.25866192407739,Candidato B,Candidato B
2024-05-13,7460d20d-94b9-4db5-ae3c-18c9ef1fa0a3,Medio,Femenino,56,Secundario incompleto,5,80.76087319143963,Candidato A,En blanco
2025-07-25,79c45c38-b440-4fe0-8137-70e27d7de1f5,Alto,Femenino,80,Secundario completo,2,75.67726788584153,Candidato C,Candidato C
2024-02-28,0acfeba4-4410-40ae-9652-5ce03725bd0c,Bajo,Femenino,64,Primario completo,4,97.47391700197923,Candidato B,No votó
2025-07-25,598ca3b4-29b1-4823-8d74-22560b36f3cd,Medio,Femenino,49,Terciario/Universitario incompleto,1,85.74756973823547,Candidato A,No votó
2025-01-04,01d34690-a795-4c54-8a30-f7cd00fdec23,Bajo,Masculino,66,Secundario incompleto,4,49.76905372910729,En blanco,Candidato B
2024-10-22,6d80ab08-c963-4148-904d-ff6623f1b67e,Bajo,Masculino,18,Terciario/Universitario incompleto,1,79.23760889470061,En blanco,Candidato B
2024-01-19,9bcfb1c4-f87e-4560-b8df-e76bae358290,Bajo,Femenino,31,Terciario/Universitario completo,1,78.53888885823953,Candidato C,Candidato C
2024-01-11,3891aef5-ebe0-472c-8ec9-ea986581f934,Bajo,Masculino,44,Primario completo,1,41.00255873927934,Candidato C,Candidato B
2024-07-15,9bbac838-56e9-478d-b15e-80807425f4e9,Alto,Masculino,57,Secundario incompleto,3,38.71490368897999,Candidato B,No votó
2025-09-19,15eb3a3d-e201-4a45-9b3a-0c891a32e148,Alto,Femenino,66,Primario completo,1,56.00950019943339,No votó,En blanco
2024-12-08,8930d179-52ab-493f-91ab-f5e5cb775e24,Medio,Femenino,41,Primario completo,3,44.256170752385295,Candidato B,Candidato A
2025-11-03,4168705a-533c-4a31-a4ba-cd7874aba9fc,Medio,Femenino,37,Posgrado,3,62.29383996780227,No votó,En blanco
2024-11-24,30ac79dd-0b5a-4fef-85a1-282a0761585b,Bajo,Masculino,23,Posgrado,1,81.3772606571357,No votó,No votó
2024-02-02,deb4e6c4-35a7-46ed-9482-7a895e6364c6,Bajo,Femenino,65,Secundario incompleto,1,91.89694303721659,No votó,En blanco
2024-07-01,d658b1b3-3012-4e1c-9882-e3bb864696c1,Alto,Femenino,19,Terciario/Universitario incompleto,1,64.33264286580273,Candidato A,Candidato A
2025-01-11,baa172ac-ac33-4644-8053-b188339d78f5,Bajo,Femenino,67,Primario completo,5,52.48078869858308,En blanco,No votó
2024-06-23,84539813-4fee-4144-8d23-6555bc5074ac,Bajo,Femenino,69,Terciario/Universitario incompleto,1,21.582471216480325,Candidato B,Candidato C
2025-05-11,7b69e690-4130-4879-a279-d944dc2897c6,Bajo,Masculino,33,Terciario/Universitario completo,2,39.95767942535539,Candidato B,Candidato B
2024-02-14,3d6e2667-b665-4d6e-9f39-ccaa580c79fc,Bajo,Masculino,57,Terciario/Universitario completo,5,22.42464316767928,Candidato C,Candidato C
2025-01-08,8d4e2753-ef26-45b7-8e49-df560b648acd,Alto,Masculino,79,Terciario/Universitario incompleto,2,72.88468411433794,Candidato B,Candidato B
2024-07-25,7ecc040c-75ff-43f0-825b-7c5f1284b9d7,Alto,Masculino,73,Primario incompleto,4,54.029100471019035,Candidato B,Candidato A
2025-08-03,eaca3811-0c26-45d9-b02d-c88ab97fb3bb,Alto,Masculino,19,Secundario completo,6,15.328485429073503,En blanco,Candidato C
2025-10-26,7e5b637d-fa98-4115-a980-b561cf1accc1,Medio,Masculino,55,Secundario completo,1,16.522056835392295,Candidato B,En blanco
2025-01-02,15eae9d2-1e3d-49d0-b0aa-f52575e417dd,Alto,Femenino,73,Primario completo,5,2.817376940800942,Candidato A,Candidato A
2024-04-15,d3861b58-1946-45d3-bdbb-a3af14dbad22,Alto,Masculino,79,Terciario/Universitario completo,2,11.378973075153953,Candidato A,No votó
2025-07-22,e25e6512-69fc-4ef0-a75f-275cc3f3f74d,Medio,Femenino,50,Primario completo,1,61.91683483371938,Candidato B,No votó
2025-02-20,9cdd9f6c-70cd-44a8-b6a5-be06eb52ee01,Alto,Masculino,41,Terciario/Universitario incompleto,6,63.7642733721304,En blanco,En blanco
2025-01-08,8f1b5be1-6d4b-469c-9169-03f213bfa9fe,Bajo,Femenino,27,Secundario incompleto,5,52.82658086647876,En blanco,Candidato C
2025-02-08,64fc0dba-d44f-45e7-a2f8-8051c13c6688,Bajo,Femenino,47,Terciario/Universitario incompleto,2,78.94354923047244,En blanco,No votó
2024-06-20,3fee2fc7-2e2d-4fdf-b57b-8a920a12f3b3,Alto,Masculino,34,Primario completo,1,54.64886830457374,Candidato A,No votó
2024-10-20,d7285256-20ca-45ab-b855-3ac87d718591,Alto,Masculino,25,Terciario/Universitario completo,1,25.641304264366894,Candidato B,Candidato B
2024-01-20,5a23754b-ef38-4426-876c-4878deffed7a,Medio,Masculino,55,Posgrado,6,76.55520050868216,No votó,Candidato B
2025-02-15,1b770deb-6f51-4a78-bea2-a33a51d11bcd,Alto,Femenino,46,Primario incompleto,1,36.643245173777295,Candidato C,Candidato A
2025-07-21,9c2e5562-4916-4844-a64d-dd918e9b185e,Medio,Masculino,35,Terciario/Universitario incompleto,5,4.4488441311387295,Candidato C,En blanco
2024-09-03,b6088c97-3380-4cfc-89fe-60368a83efc8,Medio,Masculino,74,Secundario completo,6,21.616645690277736,Candidato A,Candidato A
2024-07-13,8397d412-7118-4b71-8707-e77b4bf0ae53,Medio,Femenino,71,Primario completo,1,44.47483768095173,No votó,Candidato B
2025-01-30,a2652c9e-8942-4c6d-b64a-b5109acba588,Alto,Femenino,80,Secundario incompleto,2,61.311561070423274,Candidato B,En blanco
2024-05-16,043d2c47-3b56-435e-85c5-96d442d01ba3,Alto,Femenino,32,Secundario completo,1,77.9511410122791,Candidato C,Candidato C
2024-06-22,b63f83c6-c893-49e9-9d68-3a9e1e651ac1,Alto,Femenino,42,Secundario incompleto,4,86.14545310729666,En blanco,No votó
2024-03-31,6a27241f-bb9e-4a02-ac2d-f3c219518f87,Medio,Masculino,42,Terciario/Universitario incompleto,4,77.42885951695652,En blanco,Candidato C
2024-04-05,e139d15d-48d8-49ef-b7d3-16a43fafa217,Bajo,Femenino,65,Primario completo,1,75.14586690751847,Candidato A,Candidato C
2025-08-09,01a6009e-a8dc-4886-bf45-33febc6ff6ac,Medio,Masculino,50,Secundario incompleto,1,58.934474189771166,No votó,Candidato A
2024-04-03,6da313e7-83e9-473b-8918-1ba3bdee9231,Alto,Femenino,77,Posgrado,4,19.31996892186,Candidato C,No votó
2023-12-05,627b585f-1f2d-4275-8cbd-c014dbedb42e,Bajo,Femenino,39,Secundario completo,6,66.61420695858325,Candidato A,Candidato C
2025-02-27,f89d3fda-1e45-4241-85c1-90a8a52ba0ce,Medio,Femenino,32,Secundario incompleto,4,69.43806025337818,En blanco,Candidato C
2025-04-03,3ac49efa-5be1-4d09-908e-0372bcbe9a42,Alto,Femenino,70,Terciario/Universitario completo,5,26.80943495934932,Candidato C,Candidato A
2024-05-29,8bf06f64-b417-4592-b76f-c5b2acc512df,Alto,Femenino,55,Primario incompleto,6,37.11028757032224,Candidato B,Candidato A
2024-11-14,bd6817b6-38b8-4611-883c-1a4ea91da2cd,Medio,Masculino,34,Primario incompleto,2,29.382827921310817,No votó,No votó
2024-01-02,1095e497-3d79-4f0b-a6cd-3595d4f0d65d,Bajo,Masculino,77,Primario completo,5,99.5650613791218,No votó,Candidato A
2024-01-18,53ca8c05-acb5-459f-8eb9-876884a5b1c3,Bajo,Masculino,23,Primario completo,1,69.7116934565861,Candidato A,En blanco
2025-04-20,7af2f402-a0e6-44f1-9f89-d54d3bcd6aec,Bajo,Masculino,20,Terciario/Universitario incompleto,2,35.91722643723203,Candidato A,Candidato A
2025-06-20,23254d81-2bdf-4727-9501-e917496dc27b,Alto,Masculino,27,Posgrado,3,19.47604337085922,Candidato C,Candidato B
2024-02-19,813dd49a-8d99-443c-83f7-ba05cf4bb315,Medio,Femenino,38,Primario completo,6,34.05439200446061,En blanco,Candidato A
2025-09-21,a2834536-95de-4d6e-9df2-e07353f04099,Bajo,Masculino,58,Posgrado,4,24.118113502329997,Candidato B,Candidato A
2024-03-05,e0789f97-213c-421c-8fde-f30306792b47,Alto,Masculino,55,Terciario/Universitario incompleto,5,83.07803064529534,Candidato C,Candidato C
2025-10-27,2d4076bc-f9cb-4ee8-a7be-03816544c97d,Bajo,Femenino,54,Secundario completo,2,18.80155033249461,Candidato C,Candidato C
2023-12-10,22b56be1-1392-4255-bdc1-293082ae752f,Medio,Masculino,49,Primario incompleto,1,37.845282347261254,Candidato A,Candidato A
2025-08-25,ea455fc7-c80c-4483-b4dd-7624c3d9b3b0,Bajo,Femenino,22,Secundario incompleto,6,53.493247169206434,Candidato A,Candidato A
2024-01-11,c46ac0d6-91ca-4f9e-bf2a-2e65c6596f7f,Medio,Masculino,79,Terciario/Universitario incompleto,5,25.14374380171217,Candidato A,Candidato A
2025-10-07,3c3da911-36a5-4df9-b824-7e70b2194ff3,Medio,Masculino,51,Secundario incompleto,1,16.888561077578856,No votó,Candidato B
2025-05-06,3bd3147d-d0f0-475d-a1d3-2e24bb891746,Bajo,Femenino,48,Terciario/Universitario completo,6,96.13809685881412,En blanco,No votó
2025-10-26,9bc69882-5a7c-431a-a275-9469c28d2ad5,Bajo,Femenino,45,Secundario completo,5,90.36723329922077,Candidato B,No votó
2025-08-15,7f9b76ef-a105-4256-a1ee-302e974d9d49,Bajo,Masculino,38,Secundario completo,2,2.6864110509286387,En blanco,Candidato A
2025-01-02,9db3466d-1ba6-4c61-aaf9-4919e69b7971,Alto,Femenino,42,Posgrado,1,53.35792650956462,Candidato B,Candidato C
2025-04-23,989bb030-86c4-4b06-86a8-e22fd57caf0d,Bajo,Masculino,64,Secundario incompleto,6,4.3731946756339735,En blanco,Candidato C
2024-09-08,4f06ea18-74a2-4444-bd3c-279b5bce228b,Bajo,Femenino,73,Posgrado,4,43.3722463882855,No votó,No votó
2025-08-21,8e36b82f-3856-4e31-b568-c9c6033c1469,Alto,Masculino,19,Terciario/Universitario completo,3,10.952053408280015,En blanco,No votó
2025-05-10,e10b4aad-a92d-4b05-a9bc-cee9a71b80ef,Alto,Masculino,25,Terciario/Universitario completo,5,80.45234434992112,No votó,En blanco
2024-12-21,bcc4616d-f40d-4a37-8f2a-21987ea496f5,Alto,Masculino,45,Terciario/Universitario completo,3,20.099340015041946,En blanco,Candidato A
2024-06-11,b4480761-505e-4c9b-8bc8-8bcf7b1d4049,Alto,Femenino,56,Posgrado,5,30.060401362532453,Candidato B,No votó
2024-12-19,232f8c5b-4258-42c0-942a-6c95d9082a42,Alto,Femenino,60,Terciario/Universitario completo,6,8.58180068345088,Candidato B,No votó
2025-08-01,30e9be17-b413-4208-a6df-eb1e9ab3cc27,Bajo,Masculino,77,Secundario completo,5,96.82195268912625,Candidato A,En blanco
2024-05-10,4aaeb212-c90d-4d29-9100-f186d25ab049,Bajo,Femenino,79,Primario incompleto,5,50.012411903892705,No votó,En blanco
2025-08-30,356af737-0f26-40d2-b19b-43da6253dfe3,Bajo,Femenino,26,Posgrado,4,42.2191155508894,En blanco,Candidato C
2024-04-25,bf401e04-b9f9-4ec6-90ae-265209cd3bdf,Alto,Femenino,66,Primario incompleto,3,55.28521489569681,Candidato A,No votó
2025-10-05,dceb2013-57d9-4f8d-bfe6-5f90f631681e,Bajo,Masculino,27,Primario incompleto,2,17.946802934559546,En blanco,Candidato A
2025-04-20,a8e6a772-b9cd-460c-ab1e-679470f2297a,Alto,Masculino,74,Secundario incompleto,5,79.75048357390565,Candidato C,Candidato B
2025-02-10,581ba307-4296-4873-b9d5-b552a867a0f0,Alto,Masculino,19,Primario completo,6,28.711465546234727,Candidato B,Candidato C
2025-08-12,045892c1-4e0e-45d3-a98e-9a79abecfc0b,Bajo,Femenino,25,Posgrado,1,84.69264566765841,Candidato A,Candidato C
2024-09-30,0ee5144d-8a1d-4b42-92d6-ff735b3a4595,Medio,Femenino,63,Secundario incompleto,2,73.9175362578077,No votó,Candidato C
2025-02-02,5a79b46a-26b6-4b06-a164-5f58bb78eb2d,Bajo,Masculino,45,Terciario/Universitario incompleto,5,29.469446222461283,No votó,Candidato B
2024-06-10,0fb2de1e-a0b9-46c2-bdb9-31ce05a0f421,Medio,Masculino,33,Terciario/Universitario completo,4,48.60386840962215,Candidato C,En blanco
2024-10-24,032f594d-0b82-461c-bdd0-c8660649def5,Bajo,Femenino,20,Terciario/Universitario incompleto,3,29.44689262442022,En blanco,Candidato B
2024-11-26,53a081a6-a764-4989-b20e-8bda39cc6d88,Bajo,Masculino,58,Secundario completo,6,94.01969232890103,No votó,En blanco
2025-04-05,584d3c02-0ff9-4318-922a-3a6211091978,Alto,Masculino,35,Secundario incompleto,3,84.89749500327713,Candidato B,Candidato A
2025-03-22,22c71d04-6c32-4aff-a9fa-4ea6f8db1a4d,Bajo,Masculino,34,Terciario/Universitario incompleto,3,53.89903230984802,En blanco,Candidato A
2025-05-06,72ef7dce-376e-42a6-ac07-1cf1e47638ec,Bajo,Masculino,42,Secundario completo,5,68.97376719157833,En blanco,Candidato C
2025-10-22,4fdc1351-5ba8-40dc-a45d-b6ca6f6a2196,Bajo,Masculino,25,Posgrado,3,7.768697647452916,Candidato A,No votó
2025-07-18,ba626aee-542d-49c0-a629-d3322d4ba5a4,Alto,Femenino,40,Secundario completo,1,80.07330461795473,Candidato B,No votó
2024-08-13,689c0559-bf4f-44a3-8908-53fdfc9ea692,Bajo,Masculino,36,Secundario incompleto,1,35.82967477029461,Candidato C,Candidato B
2024-01-12,e413961f-68c6-4d5e-8277-52fe61f68c6e,Medio,Masculino,41,Primario completo,1,26.85645813564561,Candidato C,Candidato C
2024-07-18,cdfa4cc8-8805-4e31-88a0-edce4384860c,Bajo,Masculino,57,Terciario/Universitario completo,2,32.77090708047526,No votó,Candidato B
